,product_id,product_name,category,brand,cost_price,unit_price,margin_pct
0,P0000,BrandA Shoulder,Electronics,BrandC,52.75,64.65,18.41
1,P0001,BrandA Responsibility,Electronics,BrandD,11.2,13.26,15.54
2,P0002,BrandB Small,Electronics,BrandB,144.62,250.37,42.24
3,P0003,BrandD Continue,Apparel,BrandD,119.91,219.25,45.31
4,P0004,BrandA Indeed,Apparel,BrandD,71.35,88.47,19.35
5,P0005,BrandC Cut,Electronics,BrandA,79.09,112.55,29.73
6,P0006,BrandC Air,Home & Kitchen,BrandA,147.3,233.12,36.81
7,P0007,BrandD State,Electronics,BrandC,166.73,276.22,39.64
8,P0008,BrandC Growth,Apparel,BrandA,13.94,18.19,23.36
9,P0009,BrandC Keep,Electronics,BrandB,173.96,250.87,30.66
10,P0010,BrandD Reveal,Home & Kitchen,BrandB,77.19,99.46,22.39
11,P0011,BrandC Laugh,Electronics,BrandB,109.16,144.13,24.26
12,P0012,BrandD Cell,Personal Care,BrandC,197.96,331.78,40.33
13,P0013,BrandB Seat,Home & Kitchen,BrandA,49.66,56.06,11.42
14,P0014,BrandC Argue,Personal Care,BrandC,17.91,34.42,47.97
15,P0015,BrandC Peace,Apparel,BrandD,82.15,157.98,48.0
16,P0016,BrandD Crime,Apparel,BrandC,32.23,57.06,43.52
17,P0017,BrandC Firm,Personal Care,BrandD,75.59,151.0,49.94
18,P0018,BrandB Management,Personal Care,BrandA,152.38,285.71,46.67
19,P0019,BrandB Left,Apparel,BrandD,121.3,175.44,30.86
20,P0020,BrandD House,Home & Kitchen,BrandA,137.66,165.62,16.88
21,P0021,BrandC Shake,Home & Kitchen,BrandA,62.23,77.31,19.51
22,P0022,BrandA Much,Home & Kitchen,BrandB,104.0,124.36,16.37
23,P0023,BrandC Believe,Apparel,unknown,77.91,97.03,19.71
24,P0024,BrandA Black,Home & Kitchen,BrandD,8.8,17.04,48.36
25,P0025,BrandC Resource,Apparel,BrandA,51.97,83.7,37.91
26,P0026,BrandA Fund,Electronics,BrandD,164.12,324.99,49.5
27,P0027,BrandB Probably,Apparel,BrandD,189.64,236.79,19.91
28,P0028,BrandD Degree,Apparel,BrandB,144.03,210.15,31.46
29,P0029,BrandC Stuff,Personal Care,BrandD,28.6,37.24,23.2
30,P0030,BrandC War,Electronics,BrandB,119.75,132.5,9.62
31,P0031,BrandA Responsibility,Apparel,BrandA,181.56,340.18,46.63
32,P0032,BrandA Role,Apparel,BrandC,135.45,175.11,22.65
33,P0033,BrandB Training,Personal Care,BrandB,158.0,288.63,45.26
34,P0034,BrandB Draw,Electronics,BrandA,133.5,189.42,29.52
35,P0035,BrandD Sure,Personal Care,BrandA,136.31,270.68,49.64
36,P0036,BrandA Beautiful,Electronics,BrandD,147.0,267.62,45.07
37,P0037,BrandA One,Apparel,BrandB,42.09,63.29,33.5
38,P0038,BrandD The,Apparel,BrandC,95.21,179.66,47.01
39,P0039,BrandA Professor,Personal Care,BrandA,14.86,29.71,49.98
40,P0040,BrandA Identify,Electronics,BrandB,37.43,57.53,34.94
41,P0041,BrandB Prevent,Personal Care,BrandA,37.1,40.88,9.25
42,P0042,BrandD Outside,Home & Kitchen,BrandD,60.62,104.69,42.1
43,P0043,BrandD Who,Apparel,unknown,62.86,123.95,49.29
44,P0044,BrandA Argue,Home & Kitchen,unknown,14.78,22.6,34.6
45,P0045,BrandB Tend,Electronics,BrandA,171.01,198.66,13.92
46,P0046,BrandA Usually,Apparel,BrandD,28.38,53.96,47.41
47,P0047,BrandB Son,Electronics,BrandA,86.75,141.0,38.48
48,P0048,BrandC Carry,Home & Kitchen,BrandB,135.6,187.5,27.68
49,P0049,BrandC Bit,Personal Care,unknown,135.98,186.29,27.01
50,P0050,BrandC Marriage,Electronics,BrandA,94.37,188.61,49.97
51,P0051,BrandA Table,Electronics,BrandB,103.65,126.37,17.98
52,P0052,BrandC Agency,Electronics,BrandB,77.06,95.71,19.49
53,P0053,BrandC Decision,Electronics,BrandC,186.69,222.76,16.19
54,P0054,BrandB Our,Home & Kitchen,BrandA,178.49,315.6,43.44
55,P0055,BrandB Day,Home & Kitchen,BrandC,122.94,214.63,42.72
56,P0056,BrandB Operation,Home & Kitchen,BrandD,53.97,103.48,47.84
57,P0057,BrandA Majority,Electronics,BrandD,166.72,190.01,12.26
58,P0058,BrandC Recently,Apparel,unknown,36.51,54.68,33.23
59,P0059,BrandD Mother,Electronics,BrandA,19.67,37.27,47.22
60,P0060,BrandB Society,Electronics,BrandC,118.59,146.26,18.92
61,P0061,BrandB Off,Electronics,BrandC,76.11,147.64,48.45
62,P0062,BrandA Five,Home & Kitchen,BrandB,138.0,234.63,41.18
63,P0063,BrandC Congress,Personal Care,BrandB,185.52,243.6,23.84
64,P0064,BrandB Important,Apparel,BrandD,9.83,17.33,43.28
65,P0065,BrandC Moment,Personal Care,BrandB,57.03,103.15,44.71
66,P0066,BrandA Computer,Personal Care,BrandA,172.43,224.19,23.09
67,P0067,BrandD Indeed,Home & Kitchen,BrandC,165.0,310.89,46.93
68,P0068,BrandB Nice,Electronics,BrandB,82.7,111.71,25.97
69,P0069,BrandA Wait,Home & Kitchen,BrandC,130.09,189.89,31.49
70,P0070,BrandC Quality,Electronics,unknown,176.02,235.0,25.1
71,P0071,BrandC Tough,Electronics,BrandA,121.33,171.21,29.13
72,P0072,BrandC Finish,Personal Care,BrandA,80.11,129.69,38.23
73,P0073,BrandC Help,Electronics,BrandD,5.33,10.3,48.25
74,P0074,BrandB No,Home & Kitchen,BrandD,18.64,31.65,41.11
75,P0075,BrandC Better,Home & Kitchen,BrandA,145.35,199.17,27.02
76,P0076,BrandC Economy,Personal Care,BrandC,83.47,114.03,26.8
77,P0077,BrandB Need,Apparel,BrandD,134.66,194.08,30.62
