,order_id,order_date,customer_id,product_id,store_id,sales_channel,quantity,unit_price,discount_pct,total_amount,cost_price,profit
0,O00000,2024-01-31,C0125,P1086,UNKNOWN,Online,2,80.63,0.05,153.2,69.87,13.45999999999998
1,O00001,2024-09-29,C0633,P0973,S042,In-Store,20,209.16,0.05,3974.0,120.11,1571.8000000000002
2,O00002,2023-08-29,C0653,P0659,UNKNOWN,Online,2,218.6,0.1,393.48,173.17,47.14000000000004
3,O00003,2024-05-13,C0753,P0666,S014,In-Store,1,78.53,0.2,62.82,65.86,-3.039999999999999
4,O00004,2024-07-22,C0627,P0166,S017,In-Store,1,344.93,0.2,275.94,174.83,101.10999999999999
5,O00005,2024-12-16,C0716,P0205,S018,In-Store,1,14.31,0.05,13.59,7.9,5.6899999999999995
6,O00006,2023-09-25,C0532,P1171,S045,In-Store,2,230.62,0.0,461.24,185.92,89.40000000000003
7,O00007,2023-09-27,C0515,P0178,S043,In-Store,2,129.07,0.2,206.51,94.08,18.349999999999994
8,O00008,2024-03-01,C0456,P0236,S034,In-Store,2,196.93,0.05,374.17,173.04,28.090000000000032
9,O00009,2023-12-02,C0174,P0183,UNKNOWN,Online,3,304.66,0.0,913.98,181.16,370.5
10,O00010,2023-05-03,C0334,P0785,S014,In-Store,1,57.39,0.1,51.65,46.09,5.559999999999995
11,O00011,2024-04-12,C0686,P0252,S059,In-Store,2,231.15,0.2,369.84,196.57,-23.30000000000001
12,O00012,2024-11-13,C0708,P0681,S059,In-Store,1,342.55,0.0,342.55,190.14,152.41000000000003
13,O00013,2024-10-05,C0386,P0781,S050,In-Store,1,153.3,0.2,122.64,99.94,22.700000000000003
14,O00014,2024-11-18,C0228,P0530,UNKNOWN,Online,2,274.32,0.0,548.64,147.34,253.95999999999998
15,O00015,2024-05-06,C0348,P0528,S047,In-Store,2,102.08,0.0,204.16,65.43,73.29999999999998
16,O00016,2023-07-16,C0130,P0641,S036,In-Store,1,240.92,0.0,240.92,123.63,117.28999999999999
17,O00017,2025-01-19,C0604,P1096,UNKNOWN,Online,1,214.66,0.2,171.73,109.25,62.47999999999999
18,O00018,2025-03-05,C0327,P0747,S059,In-Store,1,127.24,0.05,120.88,84.49,36.39
19,O00019,2023-04-28,C0616,P0255,UNKNOWN,Online,10,21.15,0.2,169.20000000000002,17.85,-9.299999999999983
20,O00020,2024-03-15,C0471,P0647,UNKNOWN,Online,2,139.35,0.1,250.83,105.87,39.09
21,O00021,2023-11-27,C0511,P0933,UNKNOWN,Online,2,25.25,0.1,45.45,13.75,17.950000000000003
22,O00022,2024-06-28,C0681,P0070,S019,In-Store,2,235.0,0.0,470.0,176.02,117.95999999999998
23,O00023,2024-10-10,C0723,P1175,S053,In-Store,2,26.47,0.05,50.29,23.03,4.229999999999997
24,O00024,2024-07-16,C0721,P0771,UNKNOWN,Online,2,155.11,0.1,279.2,81.54,116.11999999999998
25,O00025,2024-05-19,C0733,P0431,S059,In-Store,1,39.3,0.05,37.33,21.12,16.209999999999997
26,O00026,2025-03-07,C0053,P0366,S046,In-Store,2,230.23,0.2,368.37,183.08,2.2099999999999795
27,O00027,2025-04-03,C0675,P0326,S035,In-Store,2,134.39,0.2,215.02,95.57,23.880000000000024
28,O00028,2023-08-17,C0694,P0969,S048,In-Store,2,171.98,0.2,275.17,90.71,93.75000000000003
